State	series_id	year	month	value	month_year
Georgia	LAUCN130130000000005          	2015	6	33766.0	06_2015
Georgia	LAUCN130130000000005          	2016	6	35761.0	06_2016
Georgia	LAUCN130130000000005          	2017	6	37842.0	06_2017
Georgia	LAUCN130130000000005          	2018	6	38924.0	06_2018
Georgia	LAUCN130130000000005          	2019	6	40109.0	06_2019
Georgia	LAUCN130130000000005          	2020	6	37263.0	06_2020
Georgia	LAUCN130130000000006          	2015	6	35817.0	06_2015
Georgia	LAUCN130130000000006          	2016	6	37680.0	06_2016
Georgia	LAUCN130130000000006          	2017	6	39597.0	06_2017
Georgia	LAUCN130130000000006          	2018	6	40434.0	06_2018
Georgia	LAUCN130130000000006          	2019	6	41443.0	06_2019
Georgia	LAUCN130130000000006          	2020	6	39815.0	06_2020
Georgia	LAUCN130150000000003          	2015	6	6.4	06_2015
Georgia	LAUCN130150000000003          	2016	6	5.5	06_2016
Georgia	LAUCN130150000000003          	2017	6	4.9	06_2017
Georgia	LAUCN130150000000003          	2018	6	4.2	06_2018
Georgia	LAUCN130150000000003          	2019	6	3.6	06_2019
Georgia	LAUCN130150000000003          	2020	6	7.9	06_2020
Georgia	LAUCN130150000000004          	2015	6	2979.0	06_2015
Georgia	LAUCN130150000000004          	2016	6	2663.0	06_2016
Georgia	LAUCN130150000000004          	2017	6	2466.0	06_2017
Georgia	LAUCN130150000000004          	2018	6	2112.0	06_2018
Georgia	LAUCN130150000000004          	2019	6	1824.0	06_2019
Georgia	LAUCN130150000000004          	2020	6	3854.0	06_2020
Georgia	LAUCN130150000000005          	2015	6	43529.0	06_2015
Georgia	LAUCN130150000000005          	2016	6	45544.0	06_2016
Georgia	LAUCN130150000000005          	2017	6	47594.0	06_2017
Georgia	LAUCN130150000000005          	2018	6	48495.0	06_2018
Georgia	LAUCN130150000000005          	2019	6	49067.0	06_2019
Georgia	LAUCN130150000000005          	2020	6	45079.0	06_2020
Georgia	LAUCN130150000000006          	2015	6	46508.0	06_2015
Georgia	LAUCN130150000000006          	2016	6	48207.0	06_2016
Georgia	LAUCN130150000000006          	2017	6	50060.0	06_2017
Georgia	LAUCN130150000000006          	2018	6	50607.0	06_2018
Georgia	LAUCN130150000000006          	2019	6	50891.0	06_2019
Georgia	LAUCN130150000000006          	2020	6	48933.0	06_2020
Georgia	LAUCN130170000000003          	2015	6	9.5	06_2015
Georgia	LAUCN130170000000003          	2016	6	8.3	06_2016
Georgia	LAUCN130170000000003          	2017	6	7.8	06_2017
Georgia	LAUCN130170000000003          	2018	6	6.0	06_2018
Georgia	LAUCN130170000000003          	2019	6	5.7	06_2019
Georgia	LAUCN130170000000003          	2020	6	7.3	06_2020
Georgia	LAUCN130170000000004          	2015	6	518.0	06_2015
Georgia	LAUCN130170000000004          	2016	6	464.0	06_2016
Georgia	LAUCN130170000000004          	2017	6	434.0	06_2017
Georgia	LAUCN130170000000004          	2018	6	332.0	06_2018
Georgia	LAUCN130170000000004          	2019	6	304.0	06_2019
Georgia	LAUCN130170000000004          	2020	6	402.0	06_2020
Georgia	LAUCN130170000000005          	2015	6	4930.0	06_2015
Georgia	LAUCN130170000000005          	2016	6	5107.0	06_2016
Georgia	LAUCN130170000000005          	2017	6	5141.0	06_2017
Georgia	LAUCN130170000000005          	2018	6	5226.0	06_2018
Georgia	LAUCN130170000000005          	2019	6	5026.0	06_2019
Georgia	LAUCN130170000000005          	2020	6	5110.0	06_2020
Georgia	LAUCN130170000000006          	2015	6	5448.0	06_2015
Georgia	LAUCN130170000000006          	2016	6	5571.0	06_2016
Georgia	LAUCN130170000000006          	2017	6	5575.0	06_2017
Georgia	LAUCN130170000000006          	2018	6	5558.0	06_2018
Georgia	LAUCN130170000000006          	2019	6	5330.0	06_2019
Georgia	LAUCN130170000000006          	2020	6	5512.0	06_2020
Georgia	LAUCN130190000000003          	2015	6	7.6	06_2015
Georgia	LAUCN130190000000003          	2016	6	6.5	06_2016
Georgia	LAUCN130190000000003          	2017	6	5.5	06_2017
Georgia	LAUCN130190000000003          	2018	6	4.6	06_2018
Georgia	LAUCN130190000000003          	2019	6	4.0	06_2019
Georgia	LAUCN130190000000003          	2020	6	6.0	06_2020
Georgia	LAUCN130190000000004          	2015	6	537.0	06_2015
Georgia	LAUCN130190000000004          	2016	6	469.0	06_2016
Georgia	LAUCN130190000000004          	2017	6	415.0	06_2017
Georgia	LAUCN130190000000004          	2018	6	349.0	06_2018
Georgia	LAUCN130190000000004          	2019	6	299.0	06_2019
Georgia	LAUCN130190000000004          	2020	6	433.0	06_2020
Georgia	LAUCN130190000000005          	2015	6	6486.0	06_2015
Georgia	LAUCN130190000000005          	2016	6	6770.0	06_2016
Georgia	LAUCN130190000000005          	2017	6	7153.0	06_2017
Georgia	LAUCN130190000000005          	2018	6	7246.0	06_2018
Georgia	LAUCN130190000000005          	2019	6	7175.0	06_2019
Georgia	LAUCN130190000000005          	2020	6	6803.0	06_2020
Georgia	LAUCN130190000000006          	2015	6	7023.0	06_2015
Georgia	LAUCN130190000000006          	2016	6	7239.0	06_2016
Georgia	LAUCN130190000000006          	2017	6	7568.0	06_2017
Georgia	LAUCN130190000000006          	2018	6	7595.0	06_2018
Georgia	LAUCN130190000000006          	2019	6	7474.0	06_2019
Georgia	LAUCN130190000000006          	2020	6	7236.0	06_2020
Georgia	LAUCN130210000000003          	2015	6	7.2	06_2015
Georgia	LAUCN130210000000003          	2016	6	6.3	06_2016
Georgia	LAUCN130210000000003          	2017	6	5.6	06_2017
Georgia	LAUCN130210000000003          	2018	6	4.9	06_2018
Georgia	LAUCN130210000000003          	2019	6	4.5	06_2019
Georgia	LAUCN130210000000003          	2020	6	9.3	06_2020
Georgia	LAUCN130210000000004          	2015	6	4881.0	06_2015
Georgia	LAUCN130210000000004          	2016	6	4290.0	06_2016
Georgia	LAUCN130210000000004          	2017	6	3913.0	06_2017
Georgia	LAUCN130210000000004          	2018	6	3435.0	06_2018
Georgia	LAUCN130210000000004          	2019	6	3088.0	06_2019
Georgia	LAUCN130210000000004          	2020	6	6216.0	06_2020
Georgia	LAUCN130210000000005          	2015	6	62628.0	06_2015
Georgia	LAUCN130210000000005          	2016	6	64220.0	06_2016
Georgia	LAUCN130210000000005          	2017	6	66511.0	06_2017
Georgia	LAUCN130210000000005          	2018	6	66320.0	06_2018
Georgia	LAUCN130210000000005          	2019	6	65023.0	06_2019
Georgia	LAUCN130210000000005          	2020	6	60517.0	06_2020
Georgia	LAUCN130210000000006          	2015	6	67509.0	06_2015
Georgia	LAUCN130210000000006          	2016	6	68510.0	06_2016
Georgia	LAUCN130210000000006          	2017	6	70424.0	06_2017
Georgia	LAUCN130210000000006          	2018	6	69755.0	06_2018
Georgia	LAUCN130210000000006          	2019	6	68111.0	06_2019
Georgia	LAUCN130210000000006          	2020	6	66733.0	06_2020
Georgia	LAUCN130230000000003          	2015	6	9.3	06_2015
Georgia	LAUCN130230000000003          	2016	6	9.1	06_2016
Georgia	LAUCN130230000000003          	2017	6	7.7	06_2017
Georgia	LAUCN130230000000003          	2018	6	6.5	06_2018
Georgia	LAUCN130230000000003          	2019	6	6.3	06_2019
Georgia	LAUCN130230000000003          	2020	6	7.5	06_2020
Georgia	LAUCN130230000000004          	2015	6	402.0	06_2015
Georgia	LAUCN130230000000004          	2016	6	411.0	06_2016
Georgia	LAUCN130230000000004          	2017	6	354.0	06_2017
Georgia	LAUCN130230000000004          	2018	6	302.0	06_2018
Georgia	LAUCN130230000000004          	2019	6	292.0	06_2019
Georgia	LAUCN130230000000004          	2020	6	332.0	06_2020
Georgia	LAUCN130230000000005          	2015	6	3934.0	06_2015
Georgia	LAUCN130230000000005          	2016	6	4098.0	06_2016
Georgia	LAUCN130230000000005          	2017	6	4246.0	06_2017
Georgia	LAUCN130230000000005          	2018	6	4311.0	06_2018
Georgia	LAUCN130230000000005          	2019	6	4342.0	06_2019
Georgia	LAUCN130230000000005          	2020	6	4092.0	06_2020
Georgia	LAUCN130230000000006          	2015	6	4336.0	06_2015
Georgia	LAUCN130230000000006          	2016	6	4509.0	06_2016
Georgia	LAUCN130230000000006          	2017	6	4600.0	06_2017
